Item_Name,Description,Price,Allergens,Additives,Category,Position,Image,Group,Extra1,Extra2,Tax_Rate
Rindfleisch mit grünen Bohnen,mit gemischtem Salat und Brot,,,,Rindfleisch,119.0,,,,,ermäßigt
Rindfleisch mit Stifado,mit gemischtem Salat und Brot,,,,Rindfleisch,120.0,,,,,ermäßigt
Rindfleisch mit Kartoffeln, mit gemischtem Salat und Brot,,,,Rindfleisch,121.0,,,,,ermäßigt
Rindfleisch mit Auberginen, mit gemischtem Salat und Brot,,,,Rindfleisch,122.0,,,,,ermäßigt
Rindfleisch mit Bamies, mit gemischtem Salat und Brot,,,,Rindfleisch,123.0,,,,,ermäßigt
Pfeffersauce,,,,,Saucen,140.0,,,,,ermäßigt
Rahm-Champignon-Sauce,,,,,Saucen,141.0,,,,,ermäßigt
Tomaten-Knoblauch-Sauce,,,,,Saucen,142.0,,,,,ermäßigt
Zitronen-Knoblauch-Sauce,,,,,Saucen,143.0,,,,,ermäßigt
Metaxasauce,,,,,Saucen,144.0,,,,,ermäßigt
Halvas,,,,,Dessert,10001.0,,,,,ermäßigt
Joghurt Honig Nüsse,,,,,Dessert,10002.0,,,,,ermäßigt
Joghurt Honig Früchte,,,,,Dessert,10003.0,,,,,ermäßigt
Galaktobureko,,,,,Dessert,10004.0,,,,,ermäßigt
Reis,,,,,Beilagen,126.0,,,,,Standard
Pommes,,,,,Beilagen,127.0,,,,,Standard
Dicke Bohnen,,,,,Beilagen,128.0,,,,,Standard
Grüne Bohnen,,,,,Beilagen,129.0,,,,,Standard
Auberginen,,,,,Beilagen,130.0,,,,,Standard
Bamies (Okraschoten),,,,,Beilagen,131.0,,,,,Standard
Kartoffeln,,,,,Beilagen,132.0,,,,,Standard
Kartoffelscheiben,,,,,Beilagen,133.0,,,,,Standard
Broccoli in Butter,,,,,Beilagen,134.0,,,,,Standard
Kritharaki Beilage,,,,,Beilagen,138.0,,,,,Standard
Hellas Platte,"Gyros, 2 Lammkoteletts, 2 Zuzuki und 2 Schweinesteaks, Bauernsalat, grüne Bohnen, Kartoffeln, Reis, Zaziki",,,,Platten,81.0,,,,,ermäßigt
Olympia Platte,"Gyros, 2 Lammkoteletts, 2 Zuzuki und 2 Suvlaki ,Bauernsalat, grüne Bohnen, Kartoffeln, Reis, Zaziki",,,,Platten,82.0,,,,,ermäßigt
10 Lammkoteletts,"10 Lammkoteletts,  Bauernsalat, grüne Bohnen, Kartoffeln, Reis, Zaziki",,,,Platten,83.0,,,,,ermäßigt
gebratene Zwiebeln,,,,,Beilagen,139.0,,,,,Standard
Gyros,"mit Reis, Tzatziki, gemischtem Salat und Brot",,,,Gegrilltes vom Schwein,52.0,,,,,ermäßigt
Kritharaki mit Hack,"griechische Nudeln mit Tomatensauce, Hack, Schafskäse, gemischtem Salat und Brot",,,,Nudeln,39.0,,,,,ermäßigt
Kritharaki mit Tomatensauce,"griechische Nudeln mit Tomatensauce, Schafskäse, gemischtem Salat und Brot",,,,Nudeln,38.0,,,,,ermäßigt
Spaghetti mit Tomatensauce,"Spaghetti mit Tomatensauce, Schafskäse, gemischtem Salat und Brot ",,,,Nudeln,40.0,,,,,ermäßigt
Spaghetti mit Hack,"Spaghetti mit Hack, Tomatensauce und Schafskäse, gemischter Salat und Brot",,,,Nudeln,41.0,,,,,ermäßigt
Schafskäse Omelette,mit gemischtem Salat und Brot,,,,Omelette,47.0,,,,,ermäßigt
