Item_Name,Description,Price,Allergens,Additives,Category,Position,Image,Group,Extra1,Extra2,Tax_Rate
Küche Divers,,,,,Küche Divers,5000.0,,,,,ermäßigt
Cola 1L,,,,,Alkoholfreie Getränke,9562.0,,,,,Standard
Fanta 1L,,,,,Alkoholfreie Getränke,9561.0,,,,,Standard
Spezi 1L,,,,,Alkoholfreie Getränke,9560.0,,,,,Standard
Sprite 1L,,,,,Alkoholfreie Getränke,9559.0,,,,,Standard
Cola Light 1L,,,,,Alkoholfreie Getränke,9558.0,,,,,Standard
Heineken ,,,,,Biere Ausser Haus,9564.0,,,,,Standard
Bitburger,,,,,Biere Ausser Haus,9563.0,,,,,Standard
Lammhaxe mit Kritharaki,mit gemischtem Salat und Brot,,,,Lammhaxe,106.0,,,,,ermäßigt
Lammhaxe mit Spaghetti	,mit gemischtem Salat und Brot,,,,Lammhaxe,107.0,,,,,ermäßigt
Lammhaxe mit dicken Bohnen,mit gemischtem Salat und Brot,,,,Lammhaxe,108.0,,,,,ermäßigt
Lammhaxe mit grünen Bohnen,mit gemischtem Salat und Brot,,,,Lammhaxe,109.0,,,,,ermäßigt
Lammhaxe mit Stifado,mit gemischtem Salat und Brot,,,,Lammhaxe,110.0,,,,,ermäßigt
Lammhaxe mit Kartoffeln,mit gemischtem Salat und Brot,,,,Lammhaxe,111.0,,,,,ermäßigt
Gerolsteiner 0.25l,,,,,Alkoholfreie Getränke In,9580.0,,,,,Standard
Gerolsteiner 0.75l,,,,,Alkoholfreie Getränke In,9581.0,,,,,Standard
Gerolsteiner Still 0.75l,,,,,Alkoholfreie Getränke In,9583.0,,,,,Standard
Gerolsteiner Medium 0.75l,,,,,Alkoholfreie Getränke In,9582.0,,,,,Standard
Gerolsteiner still 0.25l,,,,,Alkoholfreie Getränke In,9584.0,,,,,Standard
"Cola 0,2l",,,,,Alkoholfreie Getränke In,9585.0,,,,,Standard
"Cola ohne Zucker 0,2l",,,,,Alkoholfreie Getränke In,9586.0,,,,,Standard
"Bluna Zitronen Limonade 0,2l",,,,,Alkoholfreie Getränke In,9587.0,,,,,Standard
"Bluna Orangen Limonade 0,2l",,,,,Alkoholfreie Getränke In,9588.0,,,,,Standard
"Spezi 0,2l",,,,,Alkoholfreie Getränke In,9589.0,,,,,Standard
"Orangensaft 0,2l",,,,,Alkoholfreie Getränke In,9590.0,,,,,Standard
"Apfelsaft  0,2l",,,,,Alkoholfreie Getränke In,9591.0,,,,,Standard
"Kiba 0,2l",,,,,Alkoholfreie Getränke In,9576.0,,,,,Standard
"Kirschsaft 0,2l",,,,,Alkoholfreie Getränke In,9575.0,,,,,Standard
"Bananensaft 0,2l",,,,,Alkoholfreie Getränke In,9572.0,,,,,Standard
"Tonic Water 0,2l",,,,,Alkoholfreie Getränke In,9571.0,,,,,Standard
"Ginger Ale  0,2l",,,,,Alkoholfreie Getränke In,9570.0,,,,,Standard
"Bitter Lemon 0,2l",,,,,Alkoholfreie Getränke In,9569.0,,,,,Standard
"Apfelschorle 0,2l",,,,,Alkoholfreie Getränke In,9568.0,,,,,Standard
"Rhabarberschorle 0,3l",,,,,Alkoholfreie Getränke In,9567.0,,,,,Standard
"Johannisbeerschorle 0,3l",,,,,Alkoholfreie Getränke In,9557.0,,,,,Standard
"Cola 0,4l",,,,,Alkoholfreie Getränke In,9556.0,,,,,Standard
"Cola ohne Zucker 0,4l",,,,,Alkoholfreie Getränke In,9555.0,,,,,Standard
"Bluna Zitronen Limonade 0,4l",,,,,Alkoholfreie Getränke In,9554.0,,,,,Standard
"Bluna Orangen Limonade 0,4l",,,,,Alkoholfreie Getränke In,9553.0,,,,,Standard
"Spezi 0,4l",,,,,Alkoholfreie Getränke In,9502.0,,,,,Standard
"Orangensaft 0,4l",,,,,Alkoholfreie Getränke In,9551.0,,,,,Standard
"Apfelsaft 0,4l",,,,,Alkoholfreie Getränke In,9639.0,,,,,Standard
"Kiba 0,4l",,,,,Alkoholfreie Getränke In,9638.0,,,,,Standard
"Kirschsaft 0,4l",,,,,Alkoholfreie Getränke In,9637.0,,,,,Standard
"Bananensaft 0,4l",,,,,Alkoholfreie Getränke In,9636.0,,,,,Standard
"Tonic Water 0,4l",,,,,Alkoholfreie Getränke In,9635.0,,,,,Standard
"Ginger Ale 0,4l",,,,,Alkoholfreie Getränke In,9634.0,,,,,Standard
"Bitter Lemon 0,4l",,,,,Alkoholfreie Getränke In,9633.0,,,,,Standard
"Apfelschorle 0,4l",,,,,Alkoholfreie Getränke In,9632.0,,,,,Standard
Griechischer Mocca,,,,,Heiße Getränke,9622.0,,,,,Standard
Kaffee,,,,,Heiße Getränke,9607.0,,,,,Standard
Cappuccino,,,,,Heiße Getränke,9606.0,,,,,Standard
Latte Macchiato,,,,,Heiße Getränke,9605.0,,,,,Standard
Schokolade,,,,,Heiße Getränke,9604.0,,,,,Standard
Tee,,,,,Heiße Getränke,9603.0,,,,,Standard
Grog,,,,,Heiße Getränke,9602.0,,,,,Standard
Glühwein,,,,,Heiße Getränke,9601.0,,,,,Standard
"Bitburger Pils 0,3l",,,,,Biere vom Fass,950.0,,,,,Standard
"Bitburger Pils 0,4l",,,,,Biere vom Fass,951.0,,,,,Standard
"Herrbräu Hefeweizen 0,3l",,,,,Biere vom Fass,952.0,,,,,Standard
"Herrbräu Hefeweizen 0,5l",,,,,Biere vom Fass,953.0,,,,,Standard
"Alsterwasser 0,3l",,,,,Biere vom Fass,9682.0,,,,,Standard
"Alsterwasser 0,4l",,,,,Biere vom Fass,9550.0,,,,,Standard
"Köstritzer Schwarzbier 0,3l",,,,,Biere vom Fass,9549.0,,,,,Standard
"Köstritzer Schwarzbier 0,5l",,,,,Biere vom Fass,9548.0,,,,,Standard
Herrnbräu Hefeweizen Dunkel,,,,,Flaschenbiere,9547.0,,,,,Standard
Herrnbräu Kristallweizen,,,,,Flaschenbiere,9546.0,,,,,Standard
Herrnbräu Alkoholfreies Weizen,,,,,Flaschenbiere,9545.0,,,,,Standard
Alkoholfreies Bitburger Pils,,,,,Flaschenbiere,9544.0,,,,,Standard
Kandi Malzbier,,,,,Flaschenbiere,9542.0,,,,,Standard
Mythos,,,,,Flaschenbiere,9541.0,,,,,Standard
Ouzo mit Feige,,,,,Aperetifs,9539.0,,,,,Standard
Sherry Medium,,,,,Aperetifs,9538.0,,,,,Standard
Sherry Dry,,,,,Aperetifs,9537.0,,,,,Standard
Campari Orange,,,,,Aperetifs,9536.0,,,,,Standard
Campari Soda,,,,,Aperetifs,9535.0,,,,,Standard
Martini Bianco,,,,,Aperetifs,9534.0,,,,,Standard
Martini Rosso,,,,,Aperetifs,9533.0,,,,,Standard
Masticha,,,,,Aperetifs,9532.0,,,,,Standard
Ouzo,,,,,Spirituosen,9531.0,,,,,Standard
Zipuro,,,,,Spirituosen,9530.0,,,,,Standard
Korn,,,,,Spirituosen,9528.0,,,,,Standard
Metaxa 5 Sterne,,,,,Spirituosen,9527.0,,,,,Standard
Metaxa 7 Sterne,,,,,Spirituosen,9526.0,,,,,Standard
Metaxa Old,,,,,Spirituosen,9525.0,,,,,Standard
Rum,,,,,Spirituosen,9524.0,,,,,Standard
Fernet Branca,,,,,Spirituosen,9519.0,,,,,Standard
Aquavit,,,,,Spirituosen,9520.0,,,,,Standard
Bacardi,,,,,Spirituosen,9518.0,,,,,Standard
Ramazotti,,,,,Spirituosen,9517.0,,,,,Standard
Jubi,,,,,Spirituosen,9516.0,,,,,Standard
Gin,,,,,Spirituosen,9515.0,,,,,Standard
